,image_index,nodule_index,gt_box,p2_max_iou,p3_max_iou,p4_max_iou
0,0,0,"[40.5, 19.5, 19.5, 75.5, 52.5, 41.5]",0.02014954760670662,0.16119638085365295,0.4627097249031067
1,1,0,"[51.5, 27.5, 13.5, 83.5, 63.5, 39.5]",0.017094017937779427,0.1367521435022354,0.48125407099723816
2,2,0,"[105.5, 96.5, 43.5, 108.5, 99.5, 45.5]",0.03515625,0.00439453125,0.00054931640625
3,3,0,"[44.5, 49.5, 59.5, 99.5, 108.5, 76.5]",0.009281246922910213,0.07424997538328171,0.24683445692062378
4,4,0,"[99.5, 81.5, 28.5, 110.5, 92.5, 31.5]",0.2811127305030823,0.08011869341135025,0.011077880859375
5,5,0,"[76.5, 33.5, 35.5, 82.5, 42.5, 37.5]",0.1654135286808014,0.0263671875,0.0032958984375
6,5,1,"[84.5, 18.5, 39.5, 92.5, 26.5, 41.5]",0.17972350120544434,0.03125,0.00390625
7,6,0,"[57.5, 94.5, 10.5, 82.5, 114.5, 12.5]",0.09248554706573486,0.10017271339893341,0.030517578125
8,6,1,"[0.0, 94.5, 66.5, 5.5, 102.5, 68.5]",0.15942029654979706,0.021484375,0.002685546875
9,7,0,"[22.5, 19.5, 22.5, 45.5, 39.5, 29.5]",0.13641899824142456,0.3244026005268097,0.09127297252416611
10,8,0,"[67.5, 69.5, 110.5, 75.5, 78.5, 112.5]",0.18840579688549042,0.03515625,0.00439453125
11,9,0,"[12.5, 39.5, 70.5, 20.5, 51.5, 72.5]",0.1733333319425583,0.046875,0.005859375
12,10,0,"[100.5, 112.5, 98.5, 109.5, 118.5, 99.5]",0.07860886305570602,0.01318359375,0.00164794921875
13,11,0,"[24.5, 56.5, 47.5, 35.5, 67.5, 48.5]",0.11247803270816803,0.029541015625,0.003692626953125
14,11,1,"[19.5, 66.5, 39.5, 30.5, 77.5, 40.5]",0.10471203923225403,0.024227336049079895,0.003692626953125
15,12,0,"[31.5, 14.5, 74.5, 41.5, 22.5, 77.5]",0.28932705521583557,0.05859375,0.00732421875
16,13,0,"[91.5, 66.5, 44.5, 96.5, 69.5, 45.5]",0.029296875,0.003662109375,0.000457763671875
17,14,0,"[2.5, 41.5, 119.5, 22.5, 76.5, 125.5]",0.08872458338737488,0.22721894085407257,0.10988350957632065
18,15,0,"[0.0, 20.5, 0.0, 4.5, 38.5, 4.5]",0.22673198580741882,0.07569409161806107,0.0111236572265625
19,15,1,"[41.5, 63.5, 0.0, 63.5, 83.5, 5.5]",0.13643410801887512,0.2647515535354614,0.0738525390625
20,15,2,"[93.5, 19.5, 3.5, 106.5, 36.5, 4.5]",0.09566517174243927,0.05062058940529823,0.006744384765625
21,15,3,"[4.5, 33.5, 6.5, 21.5, 55.5, 15.5]",0.14125956594944,0.42676863074302673,0.10272216796875
22,15,4,"[49.5, 68.5, 6.5, 67.5, 81.5, 9.5]",0.1878669261932373,0.14415165781974792,0.02142333984375
23,15,5,"[100.5, 27.5, 7.5, 126.5, 50.5, 17.5]",0.07984031736850739,0.3406067192554474,0.15414172410964966
24,15,6,"[102.5, 31.5, 18.5, 121.5, 53.5, 22.5]",0.13278008997440338,0.17618270218372345,0.04680851101875305
25,15,7,"[121.5, 0.0, 20.5, 128.0, 8.5, 33.5]",0.33977675437927246,0.17535400390625,0.02191925048828125
26,15,8,"[100.5, 32.5, 24.5, 110.5, 44.5, 30.5]",0.4000000059604645,0.1672321856021881,0.02197265625
27,15,9,"[74.5, 42.5, 27.5, 110.5, 74.5, 40.5]",0.03418803587555885,0.2016129046678543,0.3105412423610687
28,15,10,"[113.5, 39.5, 37.5, 119.5, 45.5, 38.5]",0.06407766789197922,0.0087890625,0.0010986328125
